Director Name,Company Name,CIN,Designation,Appointment Date,Cessation
Other Directoships of PURAV JAIN,TATA ELECTRONICS SYSTEMS SOLUTIONS PRIVATE LIMITED,U32308KA2018FTC110176,Company Secretary,2024-03-18,Ongoing
Other Directoships of PURAV JAIN,TALETTUTAYI SOLAR PROJECTS SIX PRIVATE LIMITED,U40106DL2013FTC248850,Company Secretary,2019-04-23,Ongoing
Other Directoships of PURAV JAIN,SOLARARISE INDIA PROJECTS PRIVATE LIMITED,U40106DL2014PTC272104,Company Secretary,2019-04-23,Ongoing
Other Directoships of PURAV JAIN,TALETTUTAYI SOLAR PROJECTS PRIVATE LIMITED,U74999HR2014PTC053491,Company Secretary,2019-04-23,Ongoing
Other Directoships of PURAV JAIN,TALETTUTAYI SOLAR PROJECTS TWO PRIVATE LIMITED,U74999HR2015PTC055303,Company Secretary,2019-04-23,Ongoing
Other Directoships of PURAV JAIN,TALETTUTAYI SOLAR PROJECTS FOUR PRIVATE LIMITED,U74999HR2015PTC056110,Company Secretary,2019-04-23,Ongoing
Other Directoships of PURAV JAIN,TALETTUTAYI SOLAR PROJECTS FIVE PRIVATE LIMITED,U74999HR2016PTC064918,Company Secretary,2021-01-13,Ongoing
Other Directoships of ANIL NAYAR,SOLARARISE SERVICES LLP,AAC-9897,Designated Partner,2014-11-28,Ongoing
Other Directoships of ANIL NAYAR,THOMASLLOYD ENERGY IMPACT DEVELOPMENT INDIA PRIVATE LIMITED,U35105DL2023FTC410713,Director,2023-03-04,Ongoing
Other Directoships of ANIL NAYAR,SOLARARISE RENEWABLE PROJECTS PRIVATE LIMITED,U35105HR2024PTC118716,Director,2024-02-09,Ongoing
Other Directoships of ANIL NAYAR,SUNBORNE ENERGY GUJARAT SOLAR THERMAL PRIVATE LIMITED,U37100HR2010PTC040378,Additional Director,2010-05-24,2011-09-28
Other Directoships of ANIL NAYAR,SUNBORNE ENERGY GUJARAT SOLAR THERMAL PRIVATE LIMITED,U37100HR2010PTC040378,Director,2011-09-28,2014-03-31
Other Directoships of ANIL NAYAR,SUNBORNE ENERGY POWER PROJECT PRIVATE LIMITED,U40100DL2010PTC223562,Director,2010-06-02,2014-03-31
Other Directoships of ANIL NAYAR,TALETTUTAYI SOLAR PROJECTS SIX PRIVATE LIMITED,U40106DL2013FTC248850,Additional Director,2018-03-13,2018-09-14
Other Directoships of ANIL NAYAR,TALETTUTAYI SOLAR PROJECTS SIX PRIVATE LIMITED,U40106DL2013FTC248850,Director,2018-09-14,Ongoing
Other Directoships of ANIL NAYAR,SOLARARISE INDIA PROJECTS PRIVATE LIMITED,U40106DL2014PTC272104,Director,2014-10-28,Ongoing
Other Directoships of ANIL NAYAR,SUNBORNE ENERGY POWER DEVELOPMENT PRIVATE LIMITED,U40106HR2013PTC049746,Director,2013-07-05,Ongoing
Other Directoships of ANIL NAYAR,SUNBORNE ENERGY POWERGEN PRIVATE LIMITED,U40106HR2013PTC049755,Director,2013-07-05,Ongoing
Other Directoships of ANIL NAYAR,TALETTUTAYI SOLAR PROJECTS EIGHT PRIVATE LIMITED,U40106HR2019PTC082958,Director,2019-10-09,Ongoing
Other Directoships of ANIL NAYAR,TALETTUTAYI SOLAR PROJECTS TEN PRIVATE LIMITED,U40106HR2023PTC109242,Director,2023-01-17,Ongoing
Other Directoships of ANIL NAYAR,SUNBORNE ENERGY ANDHRA PRIVATE LIMITED,U40109TG2008PTC061586,Additional Director,2009-05-22,2010-04-26
Other Directoships of ANIL NAYAR,SUNBORNE ENERGY ANDHRA PRIVATE LIMITED,U40109TG2008PTC061586,Director,2010-04-26,2014-03-31
Other Directoships of ANIL NAYAR,TALETTUTAYI SOLAR PROJECTS SEVEN PRIVATE LIMITED,U40200HR2019PTC082432,Director,2019-09-06,Ongoing
Other Directoships of ANIL NAYAR,SUNBORNE ENERGY & PROJECTS PRIVATE LIMITED,U40300HR2013PTC049737,Director,2013-07-05,Ongoing
Other Directoships of ANIL NAYAR,SUNBORNE ENERGY POWERTECH PRIVATE LIMITED,U40300HR2013PTC049742,Director,2013-07-05,2014-03-31
Other Directoships of ANIL NAYAR,SUNBORNE ENERGY SOLAR POWER PRIVATE LIMITED,U40300HR2013PTC049974,Director,2013-07-31,Ongoing
Other Directoships of ANIL NAYAR,TALETTUTAYI SOLAR PROJECTS NINE PRIVATE LIMITED,U40300HR2020PTC085416,Director,2020-02-14,Ongoing
Other Directoships of ANIL NAYAR,PAR SOLAR PRIVATE LIMITED,U51100MH1979PTC021451,Additional Director,2011-11-28,2012-06-22
Other Directoships of ANIL NAYAR,ENGLISH HELPER EDUCATION TECHNOLOGIES PRIVATE LIMITED,U72502DL2008PTC182082,Additional Director,2017-05-18,2017-09-30
Other Directoships of ANIL NAYAR,ENGLISH HELPER EDUCATION TECHNOLOGIES PRIVATE LIMITED,U72502DL2008PTC182082,Director,2017-09-30,2023-08-21
Other Directoships of ANIL NAYAR,SUNBORNE ENERGY TECHNOLOGIES PRIVATE LIMITED,U72900DL2008PTC222584,Additional Director,2009-05-22,2010-04-26
Other Directoships of ANIL NAYAR,SUNBORNE ENERGY TECHNOLOGIES PRIVATE LIMITED,U72900DL2008PTC222584,Director,2010-04-26,2014-03-31
Other Directoships of ANIL NAYAR,MINIMILL TECHNOLOGIES SERVICES INTERNATIONAL PRIVATE LIMITED,U72900DL2010PTC197569,Director,2010-01-01,Ongoing
Other Directoships of ANIL NAYAR,MEDIACRED PRIVATE LIMITED,U72900KA2020PTC142328,Additional Director,2021-03-21,2021-12-27
Other Directoships of ANIL NAYAR,MEDIACRED PRIVATE LIMITED,U72900KA2020PTC142328,Director,2021-12-27,Ongoing
Other Directoships of ANIL NAYAR,SUNBORNE ENERGY JAIPUR SOLAR PRIVATE LIMITED,U74140DL2010PTC276895,Director,2010-05-24,2014-03-31
Other Directoships of ANIL NAYAR,BRIONA POWER PRIVATE LIMITED,U74140DL2014PTC270592,Director,2014-10-01,2017-04-20
Other Directoships of ANIL NAYAR,AGDOS CONSULTANTS PRIVATE LIMITED,U74140HR2011PTC044457,Director,2011-12-05,2014-03-31
Other Directoships of ANIL NAYAR,TALETTUTAYI SOLAR PROJECTS THREE PRIVATE LIMITED,U74140HR2015PTC056107,Additional Director,2015-08-03,2016-09-30
Other Directoships of ANIL NAYAR,TALETTUTAYI SOLAR PROJECTS THREE PRIVATE LIMITED,U74140HR2015PTC056107,Director,2016-09-30,Ongoing
Other Directoships of ANIL NAYAR,TERRALIGHT SOLAR ENERGY GADNA PRIVATE LIMITED,U74140MH2010PTC429105,Director,2010-05-24,2014-03-31
Other Directoships of ANIL NAYAR,SUNBORNE ENERGY GUJARAT ONE PRIVATE LIMITED,U74900GJ2009FTC056422,Additional Director,2009-05-22,2010-09-17
Other Directoships of ANIL NAYAR,SUNBORNE ENERGY GUJARAT ONE PRIVATE LIMITED,U74900GJ2009FTC056422,Director,2010-09-17,2014-09-24
Other Directoships of ANIL NAYAR,SUNBORNE ENERGY RAJASTHAN ONE PRIVATE LIMITED,U74900RJ2009FTC028507,Additional Director,2009-05-22,2010-09-15
Other Directoships of ANIL NAYAR,SUNBORNE ENERGY RAJASTHAN ONE PRIVATE LIMITED,U74900RJ2009FTC028507,Director,2010-09-15,2014-03-31
Other Directoships of ANIL NAYAR,WORDS WORTH PRODUCTIONS PRIVATE LIMITED,U74940HR2022PTC105120,Director,2022-07-13,Ongoing
Other Directoships of ANIL NAYAR,AXIS RISK CONSULTING SERVICES PRIVATE LIMITED,U74999DL2004PTC198643,Additional Director,2007-12-13,2008-09-30
Other Directoships of ANIL NAYAR,AXIS RISK CONSULTING SERVICES PRIVATE LIMITED,U74999DL2004PTC198643,Director,2008-09-30,2009-08-04
Other Directoships of ANIL NAYAR,SUNBORNE ENERGY SERVICES INDIA PRIVATE LIMITED,U74999DL2009FTC188629,Additional Director,2009-05-22,2010-09-16
Other Directoships of ANIL NAYAR,SUNBORNE ENERGY SERVICES INDIA PRIVATE LIMITED,U74999DL2009FTC188629,Director,2010-09-16,2014-03-31
Other Directoships of ANIL NAYAR,ARTIUS CONSULTANCY PRIVATE LIMITED,U74999HR2013PTC050442,Director,2013-09-18,2018-07-20
Other Directoships of ANIL NAYAR,TALETTUTAYI SOLAR PROJECTS PRIVATE LIMITED,U74999HR2014PTC053491,Director,2014-09-27,Ongoing
Other Directoships of ANIL NAYAR,TALETTUTAYI SOLAR PROJECTS TWO PRIVATE LIMITED,U74999HR2015PTC055303,Director,2015-04-30,Ongoing
Other Directoships of ANIL NAYAR,TALETTUTAYI SOLAR PROJECTS FOUR PRIVATE LIMITED,U74999HR2015PTC056110,Additional Director,2015-08-03,2016-09-30
Other Directoships of ANIL NAYAR,TALETTUTAYI SOLAR PROJECTS FOUR PRIVATE LIMITED,U74999HR2015PTC056110,Director,2016-09-30,Ongoing
Other Directoships of ANIL NAYAR,TALETTUTAYI SOLAR PROJECTS FIVE PRIVATE LIMITED,U74999HR2016PTC064918,Director,2016-07-08,Ongoing
Other Directoships of ANIL NAYAR,SKETCHBOARD CREATIVE PRODUCTION PRIVATE LIMITED,U92100DL2019PTC348246,Additional Director,2020-06-06,2020-12-31
Other Directoships of ANIL NAYAR,SKETCHBOARD CREATIVE PRODUCTION PRIVATE LIMITED,U92100DL2019PTC348246,Director,2020-12-31,2024-06-03
Other Directoships of JAMES VARGHESE ABRAHAM,SOLARARISE SERVICES LLP,AAC-9897,Designated Partner,2014-11-28,Ongoing
Other Directoships of JAMES VARGHESE ABRAHAM,Kavunkal Dynamics LLP,ABC-9614,Designated Partner,2022-11-09,Ongoing
Other Directoships of JAMES VARGHESE ABRAHAM,THINKERTS LABS LLP,ABC-9625,Designated Partner,2022-11-09,Ongoing
Other Directoships of JAMES VARGHESE ABRAHAM,LTIMINDTREE LIMITED,L72900MH1996PLC104693,Additional Director,2021-07-18,2022-06-23
Other Directoships of JAMES VARGHESE ABRAHAM,LTIMINDTREE LIMITED,L72900MH1996PLC104693,Director,2022-06-23,Ongoing
Other Directoships of JAMES VARGHESE ABRAHAM,SUNBORNE ENERGY GUJARAT SOLAR THERMAL PRIVATE LIMITED,U37100HR2010PTC040378,Additional Director,2010-05-24,2011-09-28
Other Directoships of JAMES VARGHESE ABRAHAM,SUNBORNE ENERGY GUJARAT SOLAR THERMAL PRIVATE LIMITED,U37100HR2010PTC040378,Director,2011-09-28,2014-04-01
Other Directoships of JAMES VARGHESE ABRAHAM,SUNBORNE ENERGY POWER PROJECT PRIVATE LIMITED,U40100DL2010PTC223562,Director,2010-06-02,2014-04-01
Other Directoships of JAMES VARGHESE ABRAHAM,L&T POWER DEVELOPMENT LIMITED,U40101MH2007PLC174071,Additional Director,2011-03-24,2011-08-26
Other Directoships of JAMES VARGHESE ABRAHAM,L&T POWER DEVELOPMENT LIMITED,U40101MH2007PLC174071,Director,2011-08-26,2018-10-11
Other Directoships of JAMES VARGHESE ABRAHAM,TALETTUTAYI SOLAR PROJECTS SIX PRIVATE LIMITED,U40106DL2013FTC248850,Additional Director,2018-03-13,2018-09-14
Other Directoships of JAMES VARGHESE ABRAHAM,TALETTUTAYI SOLAR PROJECTS SIX PRIVATE LIMITED,U40106DL2013FTC248850,Director,2018-09-14,2023-01-31
Other Directoships of JAMES VARGHESE ABRAHAM,SOLARARISE INDIA PROJECTS PRIVATE LIMITED,U40106DL2014PTC272104,Director,2014-09-29,2023-01-12
Other Directoships of JAMES VARGHESE ABRAHAM,SUNBORNE ENERGY POWER DEVELOPMENT PRIVATE LIMITED,U40106HR2013PTC049746,Director,2013-07-05,Ongoing
Other Directoships of JAMES VARGHESE ABRAHAM,SUNBORNE ENERGY POWERGEN PRIVATE LIMITED,U40106HR2013PTC049755,Director,2013-07-05,Ongoing
Other Directoships of JAMES VARGHESE ABRAHAM,TALETTUTAYI SOLAR PROJECTS EIGHT PRIVATE LIMITED,U40106HR2019PTC082958,Director,2019-10-09,2023-01-31
Other Directoships of JAMES VARGHESE ABRAHAM,TALETTUTAYI SOLAR PROJECTS TEN PRIVATE LIMITED,U40106HR2023PTC109242,Director,2023-01-17,2023-01-31
Other Directoships of JAMES VARGHESE ABRAHAM,SUNBORNE ENERGY ANDHRA PRIVATE LIMITED,U40109TG2008PTC061586,Additional Director,2009-05-22,2010-04-26
Other Directoships of JAMES VARGHESE ABRAHAM,SUNBORNE ENERGY ANDHRA PRIVATE LIMITED,U40109TG2008PTC061586,Director,2010-04-26,2014-04-01
Other Directoships of JAMES VARGHESE ABRAHAM,SUNBORNE ENERGY & PROJECTS PRIVATE LIMITED,U40300HR2013PTC049737,Director,2013-07-05,Ongoing
Other Directoships of JAMES VARGHESE ABRAHAM,SUNBORNE ENERGY POWERTECH PRIVATE LIMITED,U40300HR2013PTC049742,Director,2013-07-05,2014-04-01
Other Directoships of JAMES VARGHESE ABRAHAM,SUNBORNE ENERGY SOLAR POWER PRIVATE LIMITED,U40300HR2013PTC049974,Director,2013-07-31,Ongoing
Other Directoships of JAMES VARGHESE ABRAHAM,TALETTUTAYI SOLAR PROJECTS NINE PRIVATE LIMITED,U40300HR2020PTC085416,Director,2020-02-14,2023-01-31
Other Directoships of JAMES VARGHESE ABRAHAM,VISTAAR FINANCIAL SERVICES PRIVATE LIMITED,U67120KA1991PTC059126,Additional Director,2015-05-29,2015-06-24
Other Directoships of JAMES VARGHESE ABRAHAM,VISTAAR FINANCIAL SERVICES PRIVATE LIMITED,U67120KA1991PTC059126,Director,2015-06-24,Ongoing
Other Directoships of JAMES VARGHESE ABRAHAM,SUNBORNE ENERGY TECHNOLOGIES PRIVATE LIMITED,U72900DL2008PTC222584,Additional Director,2009-05-22,2010-04-26
Other Directoships of JAMES VARGHESE ABRAHAM,SUNBORNE ENERGY TECHNOLOGIES PRIVATE LIMITED,U72900DL2008PTC222584,Director,2010-04-26,2014-04-01
Other Directoships of JAMES VARGHESE ABRAHAM,SUNBORNE ENERGY JAIPUR SOLAR PRIVATE LIMITED,U74140DL2010PTC276895,Director,2010-05-24,2014-04-01
Other Directoships of JAMES VARGHESE ABRAHAM,BRIONA POWER PRIVATE LIMITED,U74140DL2014PTC270592,Director,2014-10-01,2017-04-20
Other Directoships of JAMES VARGHESE ABRAHAM,AGDOS CONSULTANTS PRIVATE LIMITED,U74140HR2011PTC044457,Director,2011-12-05,2014-04-01
Other Directoships of JAMES VARGHESE ABRAHAM,TALETTUTAYI SOLAR PROJECTS THREE PRIVATE LIMITED,U74140HR2015PTC056107,Director,2015-07-21,Ongoing
Other Directoships of JAMES VARGHESE ABRAHAM,THE BOSTON CONSULTING GROUP (INDIA) PRIVATE LIMITED,U74140MH1996PTC099037,Director,2006-01-06,2009-09-30
Other Directoships of JAMES VARGHESE ABRAHAM,TERRALIGHT SOLAR ENERGY GADNA PRIVATE LIMITED,U74140MH2010PTC429105,Director,2010-05-24,2014-04-01
Other Directoships of JAMES VARGHESE ABRAHAM,SUNBORNE ENERGY GUJARAT ONE PRIVATE LIMITED,U74900GJ2009FTC056422,Additional Director,2009-05-22,2010-09-17
Other Directoships of JAMES VARGHESE ABRAHAM,SUNBORNE ENERGY GUJARAT ONE PRIVATE LIMITED,U74900GJ2009FTC056422,Director,2010-09-17,2014-09-24
Other Directoships of JAMES VARGHESE ABRAHAM,SUNBORNE ENERGY RAJASTHAN ONE PRIVATE LIMITED,U74900RJ2009FTC028507,Additional Director,2009-05-22,2010-09-15
Other Directoships of JAMES VARGHESE ABRAHAM,SUNBORNE ENERGY RAJASTHAN ONE PRIVATE LIMITED,U74900RJ2009FTC028507,Director,2010-09-15,2014-04-01
Other Directoships of JAMES VARGHESE ABRAHAM,SUNBORNE ENERGY SERVICES INDIA PRIVATE LIMITED,U74999DL2009FTC188629,Additional Director,2009-05-22,2010-09-16
Other Directoships of JAMES VARGHESE ABRAHAM,SUNBORNE ENERGY SERVICES INDIA PRIVATE LIMITED,U74999DL2009FTC188629,Director,2010-09-16,2014-04-01
Other Directoships of JAMES VARGHESE ABRAHAM,ARTIUS CONSULTANCY PRIVATE LIMITED,U74999HR2013PTC050442,Director,2013-09-18,2018-07-20
Other Directoships of JAMES VARGHESE ABRAHAM,TALETTUTAYI SOLAR PROJECTS PRIVATE LIMITED,U74999HR2014PTC053491,Additional Director,2018-03-13,2018-09-14
Other Directoships of JAMES VARGHESE ABRAHAM,TALETTUTAYI SOLAR PROJECTS PRIVATE LIMITED,U74999HR2014PTC053491,Director,2014-09-27,2015-11-23
Other Directoships of JAMES VARGHESE ABRAHAM,TALETTUTAYI SOLAR PROJECTS TWO PRIVATE LIMITED,U74999HR2015PTC055303,Director,2015-04-30,2023-01-31
Other Directoships of JAMES VARGHESE ABRAHAM,TALETTUTAYI SOLAR PROJECTS FOUR PRIVATE LIMITED,U74999HR2015PTC056110,Director,2015-07-21,2023-01-31
Other Directoships of JAMES VARGHESE ABRAHAM,TALETTUTAYI SOLAR PROJECTS FIVE PRIVATE LIMITED,U74999HR2016PTC064918,Director,2016-07-08,2023-01-31
Other Directoships of JAMES VARGHESE ABRAHAM,MYNZO CARBON PRIVATE LIMITED,U74999HR2022PTC106213,Director,2022-08-30,Ongoing
Other Directoships of JAMES VARGHESE ABRAHAM,SMART POWER FOR RURAL DEVELOPMENT INDIA FOUNDATION,U85100HR2015NPL084189,Additional Director,2016-11-21,2016-11-22
Other Directoships of JAMES VARGHESE ABRAHAM,SMART POWER FOR RURAL DEVELOPMENT INDIA FOUNDATION,U85100HR2015NPL084189,Director,2016-11-22,2023-12-31
Other Directoships of TANYA SINGHAL,SOLARARISE SERVICES LLP,AAC-9897,Designated Partner,2014-11-28,Ongoing
Other Directoships of TANYA SINGHAL,Kavunkal Dynamics LLP,ABC-9614,Designated Partner,2022-11-09,Ongoing
Other Directoships of TANYA SINGHAL,THINKERTS LABS LLP,ABC-9625,Designated Partner,2022-11-09,Ongoing
Other Directoships of TANYA SINGHAL,TALETTUTAYI SOLAR PROJECTS SIX PRIVATE LIMITED,U40106DL2013FTC248850,Additional Director,2018-03-13,2018-09-14
Other Directoships of TANYA SINGHAL,TALETTUTAYI SOLAR PROJECTS SIX PRIVATE LIMITED,U40106DL2013FTC248850,Director,2018-09-14,2023-01-31
Other Directoships of TANYA SINGHAL,SOLARARISE INDIA PROJECTS PRIVATE LIMITED,U40106DL2014PTC272104,Director,2014-09-29,2023-01-12
Other Directoships of TANYA SINGHAL,TALETTUTAYI SOLAR PROJECTS EIGHT PRIVATE LIMITED,U40106HR2019PTC082958,Director,2019-10-09,2023-01-31
Other Directoships of TANYA SINGHAL,TALETTUTAYI SOLAR PROJECTS TEN PRIVATE LIMITED,U40106HR2023PTC109242,Director,2023-01-17,2023-01-31
Other Directoships of TANYA SINGHAL,TALETTUTAYI SOLAR PROJECTS SEVEN PRIVATE LIMITED,U40200HR2019PTC082432,Director,2019-09-06,Ongoing
Other Directoships of TANYA SINGHAL,TALETTUTAYI SOLAR PROJECTS NINE PRIVATE LIMITED,U40300HR2020PTC085416,Director,2020-02-14,2023-01-31
Other Directoships of TANYA SINGHAL,GRANDPITSTOP PRIVATE LIMITED,U50500HR2016PTC065955,Additional Director,2018-10-10,2019-05-20
Other Directoships of TANYA SINGHAL,GRANDPITSTOP PRIVATE LIMITED,U50500HR2016PTC065955,Director,2019-05-20,2021-12-01
Other Directoships of TANYA SINGHAL,INCIGHTS MOBILE SOLUTIONS PRIVATE LIMITED,U64200DL2010PTC203909,Director,2014-05-29,2015-09-07
Other Directoships of TANYA SINGHAL,BRIONA POWER PRIVATE LIMITED,U74140DL2014PTC270592,Director,2014-10-01,2017-04-20
Other Directoships of TANYA SINGHAL,TALETTUTAYI SOLAR PROJECTS THREE PRIVATE LIMITED,U74140HR2015PTC056107,Director,2015-07-21,Ongoing
Other Directoships of TANYA SINGHAL,ARTIUS CONSULTANCY PRIVATE LIMITED,U74999HR2013PTC050442,Director,2013-09-18,2018-07-20
Other Directoships of TANYA SINGHAL,TALETTUTAYI SOLAR PROJECTS PRIVATE LIMITED,U74999HR2014PTC053491,Additional Director,2018-03-13,2018-09-14
Other Directoships of TANYA SINGHAL,TALETTUTAYI SOLAR PROJECTS PRIVATE LIMITED,U74999HR2014PTC053491,Director,2014-09-27,2015-11-23
Other Directoships of TANYA SINGHAL,TALETTUTAYI SOLAR PROJECTS TWO PRIVATE LIMITED,U74999HR2015PTC055303,Director,2015-04-30,2023-01-31
Other Directoships of TANYA SINGHAL,TALETTUTAYI SOLAR PROJECTS FOUR PRIVATE LIMITED,U74999HR2015PTC056110,Director,2015-07-21,2023-01-31
Other Directoships of TANYA SINGHAL,TALETTUTAYI SOLAR PROJECTS FIVE PRIVATE LIMITED,U74999HR2016PTC064918,Director,2016-07-08,2023-01-31
Other Directoships of TANYA SINGHAL,MYNZO CARBON PRIVATE LIMITED,U74999HR2022PTC106213,Director,2022-08-30,Ongoing
Other Directoships of MANISH JAIN,THOMASLLOYD ENERGY IMPACT DEVELOPMENT INDIA PRIVATE LIMITED,U35105DL2023FTC410713,Director,2023-09-22,Ongoing
Other Directoships of MANISH JAIN,SOLARARISE RENEWABLE PROJECTS PRIVATE LIMITED,U35105HR2024PTC118716,Director,2024-02-09,Ongoing
Other Directoships of MANISH JAIN,TALETTUTAYI SOLAR PROJECTS SIX PRIVATE LIMITED,U40106DL2013FTC248850,Additional Director,2015-11-30,2016-09-26
Other Directoships of MANISH JAIN,TALETTUTAYI SOLAR PROJECTS SIX PRIVATE LIMITED,U40106DL2013FTC248850,Director,2023-09-29,Ongoing
Other Directoships of MANISH JAIN,TALETTUTAYI SOLAR PROJECTS SIX PRIVATE LIMITED,U40106DL2013FTC248850,Director,2016-09-26,2018-03-21
Other Directoships of MANISH JAIN,TALETTUTAYI SOLAR PROJECTS EIGHT PRIVATE LIMITED,U40106HR2019PTC082958,Additional Director,2023-01-31,2023-09-28
Other Directoships of MANISH JAIN,TALETTUTAYI SOLAR PROJECTS EIGHT PRIVATE LIMITED,U40106HR2019PTC082958,Director,2023-09-29,Ongoing
Other Directoships of MANISH JAIN,TALETTUTAYI SOLAR PROJECTS TEN PRIVATE LIMITED,U40106HR2023PTC109242,Additional Director,2023-01-31,Ongoing
Other Directoships of MANISH JAIN,TALETTUTAYI SOLAR PROJECTS NINE PRIVATE LIMITED,U40300HR2020PTC085416,Additional Director,2023-01-31,2023-09-28
Other Directoships of MANISH JAIN,TALETTUTAYI SOLAR PROJECTS NINE PRIVATE LIMITED,U40300HR2020PTC085416,Director,2023-09-29,Ongoing
Other Directoships of MANISH JAIN,ARTIUS CONSULTANCY PRIVATE LIMITED,U74999HR2013PTC050442,Additional Director,2018-07-20,2018-08-03
Other Directoships of MANISH JAIN,ARTIUS CONSULTANCY PRIVATE LIMITED,U74999HR2013PTC050442,Director,2018-08-03,Ongoing
Other Directoships of MANISH JAIN,TALETTUTAYI SOLAR PROJECTS PRIVATE LIMITED,U74999HR2014PTC053491,Additional Director,2023-01-31,2023-09-28
Other Directoships of MANISH JAIN,TALETTUTAYI SOLAR PROJECTS PRIVATE LIMITED,U74999HR2014PTC053491,Director,2023-09-29,Ongoing
Other Directoships of MANISH JAIN,TALETTUTAYI SOLAR PROJECTS TWO PRIVATE LIMITED,U74999HR2015PTC055303,Additional Director,2023-01-31,2023-09-28
Other Directoships of MANISH JAIN,TALETTUTAYI SOLAR PROJECTS TWO PRIVATE LIMITED,U74999HR2015PTC055303,Director,2023-09-29,Ongoing
Other Directoships of MANISH JAIN,TALETTUTAYI SOLAR PROJECTS FOUR PRIVATE LIMITED,U74999HR2015PTC056110,Additional Director,2023-01-31,2023-09-28
Other Directoships of MANISH JAIN,TALETTUTAYI SOLAR PROJECTS FOUR PRIVATE LIMITED,U74999HR2015PTC056110,Director,2023-09-29,Ongoing
Other Directoships of MANISH JAIN,TALETTUTAYI SOLAR PROJECTS FIVE PRIVATE LIMITED,U74999HR2016PTC064918,Additional Director,2023-01-31,2023-09-28
Other Directoships of MANISH JAIN,TALETTUTAYI SOLAR PROJECTS FIVE PRIVATE LIMITED,U74999HR2016PTC064918,Director,2023-09-29,Ongoing
Other Directoships of KIRANDEEP SINGH,GREVIZ ADVISORS LLP,AAR-0764,Designated Partner,2019-11-19,Ongoing
Other Directoships of KIRANDEEP SINGH,SAURINFRA ADVISORS LLP,ACD-4883,Designated Partner,2023-10-18,Ongoing
Other Directoships of KIRANDEEP SINGH,THOMASLLOYD ENERGY IMPACT DEVELOPMENT INDIA PRIVATE LIMITED,U35105DL2023FTC410713,Director,2023-09-22,2024-05-30
Other Directoships of KIRANDEEP SINGH,SAUR GREEN ENERGY PRIVATE LIMITED,U35105DL2023PTC420889,Director,2023-10-06,Ongoing
Other Directoships of KIRANDEEP SINGH,SAUR GREEN ENERGY ONE PRIVATE LIMITED,U35105DL2023PTC421511,Director,2023-10-17,Ongoing
Other Directoships of KIRANDEEP SINGH,SAUR GREEN ENERGY TWO PRIVATE LIMITED,U35105DL2024PTC432881,Director,2024-06-18,Ongoing
Other Directoships of KIRANDEEP SINGH,SOLARARISE RENEWABLE PROJECTS PRIVATE LIMITED,U35105HR2024PTC118716,Director,2024-02-09,2024-05-30
Other Directoships of KIRANDEEP SINGH,SAUR GREEN ENERGY THREE PRIVATE LIMITED,U35106DL2024PTC432882,Director,2024-06-18,Ongoing
Other Directoships of KIRANDEEP SINGH,TALETTUTAYI SOLAR PROJECTS SIX PRIVATE LIMITED,U40106DL2013FTC248850,Additional Director,2023-01-31,2023-09-28
Other Directoships of KIRANDEEP SINGH,TALETTUTAYI SOLAR PROJECTS SIX PRIVATE LIMITED,U40106DL2013FTC248850,Director,2023-09-29,2024-05-30
Other Directoships of KIRANDEEP SINGH,TALETTUTAYI SOLAR PROJECTS EIGHT PRIVATE LIMITED,U40106HR2019PTC082958,Additional Director,2023-01-31,2023-09-28
Other Directoships of KIRANDEEP SINGH,TALETTUTAYI SOLAR PROJECTS EIGHT PRIVATE LIMITED,U40106HR2019PTC082958,Director,2023-09-29,2024-05-30
Other Directoships of KIRANDEEP SINGH,TALETTUTAYI SOLAR PROJECTS TEN PRIVATE LIMITED,U40106HR2023PTC109242,Additional Director,2023-01-31,2024-05-30
Other Directoships of KIRANDEEP SINGH,TALETTUTAYI SOLAR PROJECTS NINE PRIVATE LIMITED,U40300HR2020PTC085416,Additional Director,2023-01-31,2023-07-08
Other Directoships of KIRANDEEP SINGH,TALETTUTAYI SOLAR PROJECTS PRIVATE LIMITED,U74999HR2014PTC053491,Additional Director,2023-01-31,2023-09-28
Other Directoships of KIRANDEEP SINGH,TALETTUTAYI SOLAR PROJECTS PRIVATE LIMITED,U74999HR2014PTC053491,Director,2023-09-29,2024-05-30
Other Directoships of KIRANDEEP SINGH,TALETTUTAYI SOLAR PROJECTS TWO PRIVATE LIMITED,U74999HR2015PTC055303,Additional Director,2023-01-31,2023-09-28
Other Directoships of KIRANDEEP SINGH,TALETTUTAYI SOLAR PROJECTS TWO PRIVATE LIMITED,U74999HR2015PTC055303,Director,2023-09-29,2024-05-30
Other Directoships of KIRANDEEP SINGH,TALETTUTAYI SOLAR PROJECTS FOUR PRIVATE LIMITED,U74999HR2015PTC056110,Additional Director,2023-01-31,2023-09-28
Other Directoships of KIRANDEEP SINGH,TALETTUTAYI SOLAR PROJECTS FOUR PRIVATE LIMITED,U74999HR2015PTC056110,Director,2023-09-29,2024-05-30
Other Directoships of KIRANDEEP SINGH,TALETTUTAYI SOLAR PROJECTS FIVE PRIVATE LIMITED,U74999HR2016PTC064918,Additional Director,2023-01-31,2023-09-28
Other Directoships of KIRANDEEP SINGH,TALETTUTAYI SOLAR PROJECTS FIVE PRIVATE LIMITED,U74999HR2016PTC064918,Director,2023-09-29,2024-05-30
